date,disp_inversion
2019-01-01,0.0
2019-01-04,0.13539541
2019-03-20,2.9648912
2019-04-17,3.3578203
2019-04-18,3.3631065
2019-06-28,2.4627059
2019-06-29,2.438081
2019-08-09,1.4486651
2019-10-04,0.9764903
2019-11-23,2.0445185
2019-12-02,2.3721936
2020-05-17,6.915347
2020-06-29,6.084744
2020-07-02,6.0107946
2020-11-11,5.525115
2020-11-14,5.626459
2020-11-21,5.8826313
2020-11-28,6.1649604
2021-02-15,10.48508
2021-04-14,14.062873
2021-06-12,18.153456
2022-01-03,30.576456
2022-02-22,32.991898
2022-02-25,33.106327
2022-12-08,33.574276
2023-04-24,37.992218
2023-05-04,37.977352
2023-09-14,35.569798
2023-10-12,35.65991
2023-11-27,36.795937
2023-12-05,37.098106
